id,title,description,brand,category,price,color,size,material,gender
product_1,Classic Blue Denim Jacket,"Crafted with durable denim, this jacket is a must-have for casual outings. Features a buttoned front and dual chest pockets.",Levi's,Jackets,79.99,Blue,M,Denim,Women
product_2,Cotton Crew Neck T-Shirt,"Soft-touch cotton with a breathable finish. Perfect for layering or wearing solo during summer.",H&M,T-Shirts,19.99,White,L,Cotton,Men
product_3,Linen Striped Nightdress,"Made from airy linen, this nightdress combines comfort with elegance. Finished with fine vertical stripes.",Zara,Nightdress,34.99,Beige,S,Linen,Women
product_4,Slim Fit Chinos,"Tailored chinos ideal for formal or casual wear. Slight stretch for enhanced comfort.",Uniqlo,Trousers,45.00,Navy,XL,Cotton,Men
product_5,V-Neck Floral Dress,"A sleeveless, flowy dress adorned with delicate floral prints. Lightweight and breathable.",Forever 21,Casual,49.95,Red,M,Rayon,Women
product_6,Casual Cotton Polo,"Classic polo made from 100% combed cotton with ribbed collar and two-button placket.",Tommy Hilfiger,Polos,29.99,Green,L,Cotton,Men
product_7,Luxe Silk Nightgown,"Experience ultimate comfort with this full-length silk nightgown, finished with lace trim.",Victoria's Secret,Gowns,89.90,Champagne,M,Silk,Women
product_8,Stretch Fit T-Shirt,"Everyday t-shirt with added elastane for flexibility. Crew neck design and minimal branding.",Roadster,T-Shirts,17.50,Grey,XL,Cotton Blend,Men
product_9,Boho Ruffle Dress,"Free-spirited maxi dress with ruffle tiers and tie-back waist. Great for beach days or brunch.",Urbanic,Maxi,59.00,Coral,S,Viscose,Women
product_10,Maternity Support Leggings,"Stretch leggings offering extra support around belly. Designed to grow with you.",Mothercare,Bottomwear,35.00,Black,L,Cotton Lycra,Women
product_11,Denim Utility Shirt,"Structured shirt with utility pockets and button cuffs. Made from faded indigo denim.",Jack & Jones,Shirts,42.99,Dark Blue,M,Denim,Men
product_12,Cotton Embroidered Kurti,"Elegant kurti with thread embroidery around neckline. Pairs well with leggings or palazzos.",W for Woman,Kurtis,32.00,Peach,L,Cotton,Women
product_13,Mesh Running Sneakers,"Lightweight sneakers with breathable mesh upper and cushioned sole for joggers.",Nike,Sneakers,89.00,Grey,10,Mesh,Men
product_14,Chunky Platform Sandals,"Trendy sandals with platform base and padded insole. Secure buckle closure.",Charles & Keith,Sandals,65.00,Tan,38,PU,Women
product_15,Luxury Leather Loafers,"Handcrafted genuine leather loafers ideal for business or smart-casual events.",Clarks,Loafers,120.00,Brown,9,Leather,Men
